datetime,temperature
2025/6/16 1:00,21.4
2025/6/16 2:00,21.4
2025/6/16 3:00,21.2
2025/6/16 4:00,20.4
2025/6/16 5:00,20.1
2025/6/16 6:00,22.1
2025/6/16 7:00,23.4
2025/6/16 8:00,23.6
2025/6/16 9:00,26
2025/6/16 10:00,27.9
2025/6/16 11:00,29.7
2025/6/16 12:00,29.9
2025/6/16 13:00,31.1
2025/6/16 14:00,30.2
2025/6/16 15:00,28.8
2025/6/16 16:00,28.3
2025/6/16 17:00,27.7
2025/6/16 18:00,27.1
2025/6/16 19:00,26.2
2025/6/16 20:00,24.8
2025/6/16 21:00,24.1
2025/6/16 22:00,23.9
2025/6/16 23:00,23.7
2025/6/17 0:00,23.5
